NOMENCLATURE;AGPR;CONSO
10131;4;291
1014;4;66
10141;4;66
1015;4;80
1015Z;4;80
11;4;2617
111;4;2140
1111;4;1184
11111;4;661
11112;4;523
1112;4;673
11121;4;673
1113;4;284
1113Z;4;284
112;4;477
1121;4;477
11211;4;477
12;4;4401
121;4;886
1211;4;397
12111;4;397
1212;4;489
1212Z;4;489
123;4;212
1231;4;67
12311;4;67
1232;4;95
1232Z;4;95
1233;4;50
12331;4;50
124;4;120
1241;4;120
12411;4;120
125;4;2459
1251;4;44
12511;4;44
1252;4;377
12521;4;377
1253;4;1001
12531;4;1001
1254;4;827
12541;4;827
1255;4;210
12551;4;210
126;4;176
1261;4;176
12611;4;176
127;4;462
1271;4;462
1271Z;4;462
128;4;18
1281;4;18
12811;4;18
129;4;67
1291;4;67
12911;4;67
13;4;11816
131;4;4142
1314;4;2809
13141;4;2809
1315;4;19
13151;4;19
1316;4;51
13161;4;51
131A;4;1263
131AZ;4;1263
132;4;3753
132Z;4;3753
132ZZ;4;3753
133;4;1022
1331;4;1022
13311;4;1022
134;4;1650
134Z;4;1650
134ZZ;4;1650
135;4;1249
1351;4;1249
13511;4;1249
CTOTALE;4;31869
01;5;4865
011;5;4294
0111;5;815
01111;5;33
01112;5;549
01113;5;54
01114;5;131
01115;5;49
0112;5;1099
01121;5;306
01122;5;90
01123;5;30
01124;5;176
01125;5;352
01126;5;124
01127;5;20
0113;5;379
01130;5;140
01131;5;21
01132;5;84
01133;5;30
01134;5;104
0114;5;616
01145;5;318
01147;5;49
0114A;5;64
0114B;5;185
0115;5;107
01151;5;49
0115A;5;43
0115B;5;15
0116;5;386
01161;5;75
01162;5;29
01168;5;56
01169;5;10
0116A;5;217
0117;5;513
01175;5;9
01176;5;13
01177;5;62
01178;5;45
01179;5;84
0117A;5;300
0118;5;243
01181;5;17
0118A;5;226
0119;5;136
0119Z;5;136
012;5;366
0121;5;152
01213;5;5
0121A;5;147
0122;5;214
01221;5;75
01222;5;44
0122A;5;95
013;5;205
0131;5;205
0131Z;5;205
02;5;930
021;5;501
0211;5;134
02111;5;134
0212;5;301
0212A;5;301
0213;5;67
02131;5;67
022;5;423
022Z;5;423
022ZZ;5;423
024;5;6
0241;5;6
02411;5;6
03;5;1291
031;5;853
0311;5;6
03111;5;6
0312;5;787
0312Z;5;787
0313;5;41
03131;5;41
0314;5;19
03141;5;19
032;5;248
032Z;5;248
032ZZ;5;248
033;5;189
0331;5;189
0331Z;5;189
04;5;4143
041;5;1535
0411;5;1450
04111;5;1450
0412;5;85
04121;5;85
043;5;175
0431;5;175
0431Z;5;175
044;5;805
0443;5;286
04431;5;286
0444;5;519
04441;5;519
