NOMENCLATURE;DECUC;CONSO
0721;5;136
07211;5;136
0722;5;1174
07221;5;1174
0723;5;279
07231;5;279
0724;5;127
0724Z;5;127
073;5;347
0736;5;13
07361;5;13
073Z;5;334
073ZZ;5;334
074;5;220
0741;5;220
0741Z;5;220
08;5;704
081;5;704
0811;5;17
08111;5;17
0812;5;76
08121;5;76
0813;5;611
08131;5;611
09;5;1966
091;5;211
0911;5;86
0911Z;5;86
0913;5;68
09131;5;68
0914;5;44
09141;5;44
091A;5;12
091AZ;5;12
092;5;10
092Z;5;10
092ZZ;5;10
093;5;405
0931;5;172
0931Z;5;172
0932;5;108
09321;5;108
093A;5;125
093AZ;5;125
094;5;689
0941;5;213
09411;5;213
0942;5;435
0942Z;5;435
0943;5;40
09431;5;40
095;5;264
0951;5;83
09511;5;83
0952;5;116
09521;5;116
0953;5;13
09531;5;13
0954;5;53
09541;5;53
096;5;227
0961;5;227
09611;5;227
097;5;160
0971;5;160
0971Z;5;160
10;5;131
101;5;131
1011;5;21
10111;5;21
1012;5;23
10121;5;23
1013;5;73
10131;5;73
1014;5;11
10141;5;11
1015;5;3
1015Z;5;3
11;5;1524
111;5;1319
1111;5;815
11111;5;401
11112;5;414
1112;5;339
11121;5;339
1113;5;166
1113Z;5;166
112;5;205
1121;5;205
11211;5;205
12;5;3786
121;5;666
1211;5;306
12111;5;306
1212;5;360
1212Z;5;360
123;5;98
1231;5;27
12311;5;27
1232;5;39
1232Z;5;39
1233;5;31
12331;5;31
124;5;234
1241;5;234
12411;5;234
125;5;2265
1251;5;40
12511;5;40
1252;5;347
12521;5;347
1253;5;1101
12531;5;1101
1254;5;676
12541;5;676
1255;5;101
12551;5;101
