NOMENCLATURE;CSPR;CONSO
0552;6;84
0552Z;6;84
056;6;287
0561;6;233
0561Z;6;233
0562;6;54
0562Z;6;54
057;6;29
0571;6;29
0571Z;6;29
06;6;401
061;6;190
0611;6;190
0611Z;6;190
062;6;182
0621;6;98
06211;6;98
0622;6;45
06221;6;45
0623;6;38
0623Z;6;38
063;6;25
0631;6;25
06311;6;25
064;6;5
0641;6;5
0641Z;6;5
07;6;4282
071;6;1709
0711;6;1567
0711Z;6;1567
0712;6;104
07121;6;104
0713;6;38
07131;6;38
072;6;2001
0721;6;230
07211;6;230
0722;6;1321
07221;6;1321
0723;6;339
07231;6;339
0724;6;112
0724Z;6;112
073;6;355
0736;6;8
07361;6;8
073Z;6;346
073ZZ;6;346
074;6;217
0741;6;217
0741Z;6;217
08;6;820
081;6;820
0811;6;14
08111;6;14
0812;6;100
08121;6;100
0813;6;706
08131;6;706
09;6;1919
091;6;246
0911;6;123
0911Z;6;123
0913;6;62
09131;6;62
0914;6;46
09141;6;46
091A;6;15
091AZ;6;15
092;6;120
092Z;6;120
092ZZ;6;120
093;6;495
0931;6;222
0931Z;6;222
0932;6;83
09321;6;83
093A;6;189
093AZ;6;189
094;6;663
0941;6;188
09411;6;188
0942;6;425
0942Z;6;425
0943;6;50
09431;6;50
095;6;152
0951;6;59
09511;6;59
0952;6;38
09521;6;38
0953;6;8
09531;6;8
0954;6;48
09541;6;48
096;6;122
0961;6;122
09611;6;122
097;6;121
0971;6;121
0971Z;6;121
10;6;113
101;6;113
1011;6;18
10111;6;18
1012;6;25
10121;6;25
1013;6;49
10131;6;49
1014;6;9
10141;6;9
1015;6;13
1015Z;6;13
11;6;1356
111;6;1195
1111;6;692
11111;6;303
11112;6;389
1112;6;376
11121;6;376
1113;6;128
1113Z;6;128
112;6;160
1121;6;160
11211;6;160
12;6;3640
121;6;614
1211;6;244
12111;6;244
1212;6;370
1212Z;6;370
123;6;143
1231;6;49
12311;6;49
1232;6;60
1232Z;6;60
1233;6;33
12331;6;33
124;6;338
1241;6;338
12411;6;338
125;6;2000
1251;6;34
